"id","score"
"1190006465068711937","5923"
"1191252815106256896","5415"
"1192674677736517632","5313"
"1209417544492310528","2502"
"1194663125657751552","2442"
"1198803791451230208","1970"
"1195105889587548161","1877"
"1196238080610570240","1707"
"1191904247505309700","1522"
"1193011540544434176","1472"
"1196412252699664384","1268"
"1200454682143084545","1229"
"1205100602025545730","1154"
"1191106604453642240","1099"
"1207355923573989376","897"
"1199503147674324992","862"
"1203660493459734528","787"
"1190999884163358722","759"
"1187872969512624128","721"
"1206011174937956354","719"
"1196223776968630273","682"
"1192677772910637058","667"
"1203713873850896389","649"
"1207508280207011841","609"
"1160705671505076225","574"
"1192439532072787968","562"
"1194335050998992898","515"
"1199995288372559872","487"
"1192862490348179456","470"
"1191427714525229056","470"
"1193224005827940352","469"
"1192926752135434240","458"
"1201869671575826433","444"
"1190754138532876288","443"
"1192380953059979264","426"
"1201189677002301440","425"
"1193163863476363270","425"
"1192033293279092736","404"
"1199718185865535490","402"
"1209118729327525891","397"
"1194216506403545088","394"
"1193720000692928512","386"
"1207646162813100033","365"
"1192568358283042816","364"
"1191856999417335809","361"
"1192807092001705984","349"
"1190686490931662848","349"
"1197180071968231429","348"
"1193135237800218625","341"
"1196241884944973824","334"
"1208441284215615488","330"
"1189262863552208896","330"
"1197681584352251905","328"
"1200882191875465216","324"
"1200197775117434880","314"
"1200003003845140480","312"
"1190872283067191297","305"
"1191397902024925185","305"
"1207654525215150081","300"
"1189214091979694082","296"
"1197250132150018048","292"
"1204991626705350657","289"
"1189208570878922754","282"
"1178989254309011456","282"
"1197787049849278464","281"
"1199490014129709057","264"
"1194339107104792576","260"
"1194877831186018304","258"
"1201278966763577345","251"
"1192144039690350592","250"
"1194281616568463366","246"
"1194415458289631233","239"
"1190659641417580545","239"
"1192613760269258753","236"
"1203838162532884482","233"
"1191797412584546304","233"
"1198349042683658241","233"
"1186860241461415936","230"
"1195504997892538373","230"
"1196799345389187072","221"
"1204993711647670274","219"
"1193308327213703174","212"
"1194248689012936705","211"
"1196071924540948480","211"
"1191678837362503680","210"
"1195091287327879169","207"
"1207277859519238154","200"
"1192237683306721281","199"
"1194979490943791105","198"
"1191399480815427584","197"
"1194917900970123264","194"
"1191661705291534336","191"
"1193549741356994561","191"
"1191393634333184002","188"
"1193301121235738625","180"
"1198685474786811906","178"
"1191219632448950273","177"
"1199304826468876288","177"
"1188833159263047681","174"
"1192520019676151808","170"
"1196855156576604166","170"
"1192419434696204290","169"
"1197521967777222656","169"
"1195418447200567298","167"
"1196128109910745088","165"
"1191442439250337793","163"
"1201674361037447170","158"
"1191460655624310784","158"
"1195468878979194880","158"
"1205252419959042048","157"
"1192502834803040256","157"
"1197072105809924097","155"
"1189230099708690433","154"
"1203861201790259200","149"
"1192594646691729408","149"
"1192615720552583168","146"
"1200239735438008320","144"
"1192108737827356674","141"
"1189306440932089858","141"
"1197545203172827141","141"
"1200194497084362752","139"
"1191461991640158211","137"
"1187861209942495234","136"
"1194750296628576257","134"
"1192854218983530496","134"
"1195504912123224064","133"
"1191899709322878976","132"
"1197249197747122176","127"
"1189207699285782528","123"
"1194005963058995201","123"
"1203313380532068352","121"
"1197147718105341953","121"
"1194078561440849920","120"
"1198707515544031235","119"
"1199327922546466816","118"
"1192311612192899072","118"
"1208463950960091138","117"
"1191423477288452102","115"
"1195055206171435013","115"
"1194038604206620672","114"
"1200847452586356737","113"
"1192141459467714566","113"
"1190642665387364359","113"
"1196482173013917696","113"
"1191520325294579713","113"
"1204194224545173504","112"
"1190719218855006208","111"
"1191536566084218880","111"
"1189998238855770112","111"
"1203617350676885504","110"
"1206346426508140544","110"
"1191080605464715264","109"
"1205241494518583298","109"
"1207715217074995200","107"
"1192071660494565377","106"
"1197585321568940035","105"
"1192874333645000704","105"
"1194219655717642240","105"
"1194700606893629441","104"
"1193808628471328770","101"
"1201165109210632192","101"
"1195868564869259264","101"
"1194608581590564865","100"
"1202606947494748163","100"
"1200398541291692035","99"
"1206012885052379136","98"
"1208220525954314240","98"
"1192876053661913088","97"
"1189237791789633537","95"
"1193190844012122113","95"
"1191535752959672321","95"
"1200165021613010948","94"
"1207827960281157633","93"
"1198352974000644097","93"
"1200074415830175745","92"
"1205020862061002752","92"
"1192467215360102401","92"
"1191867253148418049","91"
"1201641730350600192","90"
"1191842248037687297","90"
"1191003203258736642","87"
"1195190342175330304","87"
"1194759981867794437","87"
"1179177130946633728","87"
"1197171463796617219","87"
"1197734102247464960","86"
"1174658605561372672","86"
"1191764864747933697","86"
"1198408273818537984","86"
"1191339312048201728","86"
"1191785650435088385","86"
"1191664038599700480","85"
"1191433797054730242","85"
"1191436258557358082","85"
"1193233751867842561","85"
"1008990362776547328","84"
"1199787451482550273","84"
"1201879633714655235","84"
"1209952364502933504","84"
"1198530514442952704","83"
"1207686318278488072","82"
"1198102616934408192","81"
"1198687838646263808","80"
"1192448237904547841","80"
"1203075203020021761","79"
"1201931781810688000","78"
"1196568516759040000","78"
"1194367262284828678","78"
"1192871191511367681","78"
"1205211276005101568","78"
"1202347800039542784","77"
"1191318856683413504","77"
"1203096385425268736","77"
"1192438540363276290","76"
"1188651870182674432","75"
"1195494076054999042","74"
"1192460764235419654","74"
"1194921347350245376","74"
"1203709389405855744","74"
"1192220290538967041","73"
"1192057334333345792","73"
"1196785142745796609","73"
"1205648124989100033","72"
"1192307362331119617","72"
"1194296175253491713","72"
"1197579254835351554","72"
"1202105491251437569","71"
"1194320619401306112","71"
"1191409674656059392","71"
"1197308404903108610","71"
"1195708593590472704","71"
"1192487277710045184","70"
"1194362803865432066","70"
"1160704299229487107","70"
"1192574007687684096","70"
"1191131808538038273","69"
"1193615188311912449","69"
"1195103162253938688","69"
"1191328027080302592","69"
"1196372486419603457","68"
"1207684513813254144","68"
"1195288489702707200","68"
"1192250883288911873","68"
"1196571263210274817","68"
"1191455541052289024","67"
"1206019123982954500","67"
"1192525651179450369","67"
"1190258025044611072","67"
"1199495333681627137","67"
"1203801822428876800","67"
"1192061557942968320","67"
"1195243394945167360","66"
"1189271764171403268","66"
"1200330293468704768","66"
"1192836947305205760","66"
"1193438148732346368","66"
"1192975040398217221","66"
"1197358462377676801","66"
"1204058296749117440","66"
"1191530327900139522","65"
"1200967335961645061","65"
"1202334570651299840","65"
"1207997903240912898","64"
"1205101608058540033","64"
"1194371365102661632","64"
"1192444243819630593","63"
"1204338242943881218","63"
"1195717973996187648","63"
"1206470029627346946","63"
"1184482600204812289","63"
"1199155908045131776","63"
"1199407313565749254","62"
"1197130403397554176","62"
"1195484702637010944","62"
"1190400372180807681","62"
"1200119199315697667","62"
"1193387808892825600","62"
"1194608482793795584","62"
"1207631675015999489","62"
"1192970525003468800","62"
"1206829881436192768","61"
"1204846157215797250","61"
"1197857416639066112","61"
"1192838061836533760","61"
"1198764111108231168","61"
"1200091734488887296","61"
"1128530446201999360","61"
"1194995882111975426","61"
"1195136121468047361","60"
"1201140183695056901","60"
"1207028067849396224","60"
"1192062007324938240","59"
"1199068709836509184","59"
