"Date","Booming tweet ID","Boomed tweet ID"
"2019-12-29T23:28:05.000Z","1211428704980627456","1210713801764622337"
"2019-12-29T23:24:00.000Z","1211427680786231296","1210705411617312770"
"2019-12-29T23:23:48.000Z","1211427628562944001","1210634172848623618"
"2019-12-29T23:21:51.000Z","1211427137816842243","1211360296650063872"
"2019-12-30T23:59:01.000Z","1211798877256458240","1211796403120476165"
"2019-12-30T23:58:15.000Z","1211798687250292740","1211768790704435201"
"2019-12-30T23:57:24.000Z","1211798470308368386","1211781268922359810"
"2019-12-30T23:57:02.000Z","1211798380373929985","1211476349745090561"
"2019-12-30T23:54:35.000Z","1211797761194168320","1211781268922359810"
"2019-12-30T23:53:28.000Z","1211797482843365376","1211781268922359810"
"2019-12-30T23:53:24.000Z","1211797463625015299","1211543313494478850"
"2019-12-30T23:53:22.000Z","1211797454930055168","1211520836286369792"
"2019-12-30T23:53:18.000Z","1211797438585024512","1211796403120476165"
"2019-12-30T23:52:32.000Z","1211797247643357184","1211743674322829312"
"2019-12-30T23:52:11.000Z","1211797158246146049","1211719858393698304"
"2019-12-30T23:50:45.000Z","1211796799331192839","1211796403120476165"
"2019-12-30T23:49:36.000Z","1211796509609484288","1211768790704435201"
"2019-12-30T23:49:08.000Z","1211796392227811332","1211768790704435201"
"2019-12-30T23:46:54.000Z","1211795827917807618","1208338920821460992"
"2019-12-30T23:46:34.000Z","1211795745659072517","1211781268922359810"
"2019-12-30T23:44:27.000Z","1211795213968117761","1211663682029211648"
"2019-12-30T23:43:55.000Z","1211795077325938689","1211474476363329537"
"2019-12-30T23:43:05.000Z","1211794870844690432","1211520836286369792"
"2019-12-30T23:41:34.000Z","1211794488273731584","1211768790704435201"
"2019-12-30T23:41:24.000Z","1211794444896350209","1211474476363329537"
"2019-12-30T23:39:04.000Z","1211793859660922880","1199107456892309504"
"2019-12-30T23:38:45.000Z","1211793778685730816","1211330294206357504"
"2019-12-30T23:37:10.000Z","1211793381107675138","1211476349745090561"
"2019-12-30T23:35:36.000Z","1211792986268418053","1211781268922359810"
"2019-12-30T23:34:22.000Z","1211792674589724673","1211768790704435201"
"2019-12-30T23:31:58.000Z","1211792073487204355","1211741241504944128"
"2019-12-30T23:30:56.000Z","1211791810839941120","1211152890846437381"
"2019-12-30T23:30:51.000Z","1211791791483236352","1211474476363329537"
"2019-12-30T23:29:02.000Z","1211791331657306113","1211523985692921858"
"2019-12-30T23:28:49.000Z","1211791277576138754","1211768790704435201"
"2019-12-30T23:28:43.000Z","1211791251894394881","1211474476363329537"
"2019-12-30T23:26:20.000Z","1211790652821983232","1211474476363329537"
"2019-12-30T23:24:39.000Z","1211790228316442631","1211474476363329537"
"2019-12-30T23:24:10.000Z","1211790108233551872","1211774730258264066"
"2019-12-31T23:56:33.000Z","1212160645371699208","1207817078725578755"
"2019-12-31T23:55:57.000Z","1212160496679497729","1212158350265344000"
"2019-12-31T23:53:36.000Z","1212159901973151744","1212134143045320706"
"2019-12-31T23:51:25.000Z","1212159353425403906","1212082065769930753"
"2019-12-31T23:51:02.000Z","1212159255786278913","1212158350265344000"
"2019-12-31T23:51:00.000Z","1212159249993867264","1212158350265344000"
"2019-12-31T23:50:12.000Z","1212159046364618757","1212158350265344000"
"2019-12-31T23:49:42.000Z","1212158923467153408","1212158350265344000"
"2019-12-31T23:49:28.000Z","1212158864356990976","1212158350265344000"
"2019-12-31T23:45:57.000Z","1212157976976527360","1212112294643023872"
"2019-12-31T23:44:07.000Z","1212157518442569728","1212141093850140679"
"2019-12-31T23:43:20.000Z","1212157320375021568","1212149943198199810"
"2019-12-31T23:42:17.000Z","1212157055110451201","1211466885218349056"
"2019-12-31T23:39:07.000Z","1212156257534201856","1212104602264444929"
"2019-12-31T23:36:26.000Z","1212155581731094528","1212141093850140679"
"2019-12-31T23:34:12.000Z","1212155020386406400","1212154072494678016"
"2019-12-31T23:33:37.000Z","1212154872746979328","1211769111384150023"
"2019-12-31T23:31:52.000Z","1212154432378540037","1212154072494678016"
"2019-12-31T23:31:23.000Z","1212154313751048193","1212154072494678016"
"2019-12-31T23:31:10.000Z","1212154257828388864","1212123123241365505"
"2019-12-31T23:30:51.000Z","1212154178006593543","1212154072494678016"
"2019-12-31T23:29:50.000Z","1212153921252278272","1211707315189174272"
"2019-12-31T23:28:51.000Z","1212153674543357952","1212106679086669824"
"2019-12-27T23:15:38.000Z","1210700798365184011","1209494438814240774"
"2019-12-27T23:15:01.000Z","1210700641766715392","1210699971282055169"
"2019-12-27T23:14:10.000Z","1210700429488640000","1210669888580120576"
"2019-12-27T23:14:01.000Z","1210700392641650688","1210399368853016576"
"2019-12-27T23:13:52.000Z","1210700352296603648","1210691660541128706"
"2019-12-27T23:12:44.000Z","1210700069424508929","1210693752639119360"
"2019-12-27T23:12:36.000Z","1210700033793937413","1210699971282055169"
"2019-12-27T23:11:04.000Z","1210699648182059008","1210130012940058624"
"2019-12-27T23:10:42.000Z","1210699557341933569","1210251123925364737"
"2019-12-27T23:09:33.000Z","1210699266416611329","1210691660541128706"
"2019-12-27T23:09:24.000Z","1210699229108174848","1210291198600130560"
"2019-12-27T23:07:59.000Z","1210698873339035648","1210334699941441536"
"2019-12-27T23:00:13.000Z","1210696916499075072","1210467542583726080"
"2019-12-27T22:58:59.000Z","1210696607915745280","1210217025974525952"
"2019-12-27T22:57:34.000Z","1210696251580149761","1210693752639119360"
"2019-12-27T22:53:25.000Z","1210695205009199105","1210669089837985793"
"2019-12-27T22:51:53.000Z","1210694819250688000","1210573848481083395"
"2019-12-27T22:47:18.000Z","1210693667318640640","1210495944892002305"
"2019-12-27T22:47:12.000Z","1210693641355825152","1210546138543210496"
"2019-12-27T22:47:03.000Z","1210693602122371072","1210291198600130560"
