"id","score"
"1210471928877715456","44"
"1210495944892002305","38"
"1207475098346590208","30"
"1210416954068078592","23"
"1210217025974525952","22"
"1210251123925364737","22"
"1210313937058533376","21"
"1210546138543210496","18"
"1210467542583726080","18"
"1210669084372652032","18"
"1210399368853016576","15"
"1210558076815912960","13"
"1210390844160663553","13"
"1210365281161359365","13"
"1210152474327126025","12"
"1210334699941441536","12"
"1210243041170219008","12"
"1210022710970998786","12"
"1210662521222381569","11"
"1210553417652822017","11"
"1210522549823705095","10"
"1210175153608507392","10"
"1210350571452022784","10"
"1210278017265745920","10"
"1209417544492310528","9"
"1210571664037208064","9"
"1210347885386178560","9"
"1210276747893231616","8"
"1210367794619060224","8"
"1210291198600130560","8"
"1209821601295929344","8"
"1210304244785405952","8"
"1210250912586850306","8"
"1210335272430374917","7"
"1209962900128964608","7"
"1210415097694298112","7"
"1210582605638373376","7"
"1210595307983126530","7"
"1210287324124323840","7"
"1210268632183431172","7"
"1210009636411064320","7"
"1209880855495270400","7"
"1210285081828503552","6"
"1209884385740238848","6"
"1210673067405516805","6"
"1210437544199872512","6"
"1210600560719781889","6"
"1210182656736055297","6"
"1210209792444239875","6"
"1210415111925649408","6"
"1210641621852790784","6"
"1210491731646590976","5"
"1210187914900054022","5"
"1206346426508140544","5"
"1210394479523483649","5"
"1210426502824808448","5"
"1209952364502933504","5"
"1210373223373852674","5"
"1210565179949404160","5"
"1210622133925273600","5"
"1210568154658803713","5"
"1210123126970802176","5"
"1210343292543651840","5"
"1210096069935165440","5"
"1210602573893382144","4"
"1210679129818968064","4"
"1210387227076747265","4"
"1210678069167607808","4"
"1210266716128841731","4"
"1210367006236532736","4"
"1210045441246556160","4"
"1210354030997901312","4"
"1209678840022339584","4"
"1210266314733998081","4"
"1210084245701455873","4"
"1210361755823566848","4"
"1210462859521646592","4"
"1210435746349408257","4"
"1210379604227239938","4"
"1210405141481848832","4"
"1210528620411789314","4"
"1210446464725536769","4"
"1210081623993135105","4"
"1210403000725827586","4"
"1210404750199590914","4"
"1210387780263653376","4"
"1210125712327229440","4"
"1210297992848302081","4"
"1209768050645442566","4"
"1210351400313638914","4"
"1210039933441720320","4"
"1209930053351542787","4"
"1210306843777654792","4"
"1210317440292466693","4"
"1209828886713917441","4"
"1210427837137793025","4"
"1210035579179749378","4"
"1210620132118212608","4"
"1210420704732041217","4"
"1210552656349061126","3"
"1210678848867766272","3"
"1210431373418385408","3"
"1210313867592634368","3"
"1209794970346909696","3"
"1209009953119358977","3"
"1210388132836892673","3"
"1210307913375506460","3"
"1210380432644030464","3"
"1210307833474035712","3"
"1210454151295127552","3"
"1210330499975196672","3"
"1210363263701200897","3"
"1210445083968819202","3"
"1210168044376526848","3"
"1210079850158907394","3"
"1210303060477710336","3"
"1210467394843561984","3"
"1209685822393507842","3"
"1210308899670282240","3"
"1210521012057583621","3"
"1210526288974204928","3"
"1210525634805583872","3"
"1210372371003015168","3"
"1210321810719416320","3"
"1210347661926313984","3"
"1210417985195786240","3"
"1210560479522951168","3"
"1210380264221892608","3"
"1210350707301404672","3"
"1210580764036935680","3"
"1208812641130561538","3"
"1210360167042310146","3"
"1210519641929535489","3"
"1210498051024080897","3"
"1210600561529237510","3"
"1210269047633383424","3"
"1210603700617654273","3"
"1210603767332257792","3"
"1210526417680601089","3"
"1210618244433956871","3"
"1208441284215615488","3"
"1210624847774130176","3"
"1210625980781477890","3"
"1210626424052363265","3"
"1210625119279648768","3"
"1210637677705547777","3"
"1210640270469021696","3"
"1210643253558697984","3"
"1210651866280775680","3"
"1210648469217529856","3"
"1210292847678763010","2"
"1207686318278488072","2"
"1210133302717353984","2"
"1201165109210632192","2"
"1210300387565146112","2"
"1210247428093497344","2"
"1210110671385485312","2"
"1210035580140175361","2"
"1210243565626036231","2"
"1210013932699578368","2"
"1210131764737265664","2"
"1210249745320435712","2"
"1210153389981601794","2"
"1210303256800485379","2"
"1206650197478137856","2"
"1210135558426464256","2"
"1209951200789049347","2"
"1209936458833944576","2"
"1210312437532000256","2"
"1210234006412963842","2"
"1210272989960396800","2"
"1208861662675009537","2"
"1209600110444843008","2"
"1210187902971449344","2"
"1208495070300774400","2"
"1209897860545810432","2"
"1210139215100551168","2"
"1210130012940058624","2"
"1209812664601522178","2"
"1210011094359707649","2"
"1193567960755036160","2"
"1210233492015132674","2"
"1209443243924045825","2"
"1210256403354521600","2"
"1204755899333664768","2"
"1210270840417378305","2"
"1210040391442915328","2"
"1210183406904074240","2"
"1210207810291671045","2"
"1210093142277574656","2"
"1208545194410414081","1"
"1210123719940681729","1"
"1209427495898042368","1"
"1191082701115314176","1"
"1210253794761674752","1"
"1210124338780749824","1"
"1209512038424350721","1"
"1210005503255949313","1"
"1205875531411054593","1"
"1210000015269285897","1"
"1210163060104515586","1"
"1210172955982016512","1"
"1209523846811987974","1"
"1208400570589073410","1"
"1210130426397773824","1"
"1204808284433264642","1"
"1210151721957314560","1"
"1210174506024783872","1"
"1209095384297099264","1"
"1210235562818445312","1"
"1210149954129317888","1"
"1210319380858494979","1"
"1210261520313044992","1"
"1207646162813100033","1"
"1208556866822909952","1"
"1209978406647009288","1"
"1209465106364555264","1"
"1210015141678350336","1"
"1196238080610570240","1"
"1209407422634373120","1"
"1210009423755784192","1"
"1210181731740991488","1"
"1210201031423987712","1"
"1209568076108386304","1"
"1210220021433208832","1"
"1210193882002018304","1"
"1209368078812770304","1"
"1210200282069471232","1"
"1208965268187353093","1"
"1196482173013917696","1"
"1195099987194998784","1"
"1203412036195098628","1"
"1209118729327525891","1"
"1210226320120176650","1"
"1210151859236720640","1"
"1209316338285498368","1"
"1207684513813254144","1"
"1209567913767833600","1"
"1198803791451230208","1"
"1209506050522652673","1"
"1210188790008037376","1"
"1209300561864142848","1"
"1209259291217141760","1"
"1209150769208807425","1"
"1210042682573090816","1"
"1209980304603144194","1"
"1206969731128987649","1"
"1209910955527700480","1"
"1209989136523956224","1"
"1179816205747662849","1"
"1208915122154070016","1"
"1209756212688019461","1"
